,RAW_DATA,Time
603,1147714.00,1666716000.504282
604,1147733.00,1666716000.5166996
605,1147928.00,1666716000.5288112
606,1147908.00,1666716000.5418277
607,1147940.00,1666716000.5542438
608,1147959.00,1666716000.566815
609,1147956.00,1666716000.5787568
610,1147754.00,1666716000.591754
611,1147974.00,1666716000.6041858
612,1147978.00,1666716000.61661
613,1146752.00,1666716000.6293201
614,1146687.00,1666716000.6418443
615,1146624.00,1666716000.6536672
616,1146542.00,1666716000.6666439
617,1146494.00,1666716000.6787448
618,1146425.00,1666716000.6907494
619,1146354.00,1666716000.7042565
620,1146294.00,1666716000.7166889
621,1144710.00,1666716000.7293515
622,1144709.00,1666716000.7409282
623,1144678.00,1666716000.7542417
624,1144645.00,1666716000.7667313
625,1144634.00,1666716000.779342
626,1144599.00,1666716000.791807
627,1144578.00,1666716000.803655
628,1144555.00,1666716000.8166912
629,1144528.00,1666716000.8293152
630,1143999.00,1666716000.8418128
631,1144022.00,1666716000.854212
632,1144031.00,1666716000.8659368
633,1144082.00,1666716000.8790183
634,1144123.00,1666716000.890988
635,1144140.00,1666716000.9039547
636,1144184.00,1666716000.9159198
637,1144215.00,1666716000.9288902
638,1145098.00,1666716000.9408329
639,1145090.00,1666716000.9538226
640,1145098.00,1666716000.9668279
641,1145114.00,1666716000.9789302
642,1145127.00,1666716000.9909632
643,1145128.00,1666716001.0041504
644,1145134.00,1666716001.016153
645,1145669.00,1666716001.028836
646,1145683.00,1666716001.0416594
647,1145712.00,1666716001.0542512
648,1145733.00,1666716001.066693
649,1145761.00,1666716001.078677
650,1145777.00,1666716001.091769
651,1145804.00,1666716001.1041553
652,1145830.00,1666716001.115919
653,1146189.00,1666716001.128878
654,1146182.00,1666716001.1409109
655,1146211.00,1666716001.1542206
656,1146199.00,1666716001.1668131
657,1146222.00,1666716001.1783092
658,1146232.00,1666716001.191686
659,1146229.00,1666716001.2035944
660,1146223.00,1666716001.2163916
661,1146585.00,1666716001.2291787
662,1146609.00,1666716001.2409315
663,1146624.00,1666716001.254202
664,1146627.00,1666716001.26671
665,1146627.00,1666716001.2792058
666,1146639.00,1666716001.2917507
667,1146665.00,1666716001.3042169
668,1146670.00,1666716001.3167043
669,1146677.00,1666716001.3288279
670,1146808.00,1666716001.341717
671,1146823.00,1666716001.3542018
672,1146809.00,1666716001.3667827
673,1146807.00,1666716001.3791716
674,1146816.00,1666716001.3914723
675,1146827.00,1666716001.4036582
676,1146819.00,1666716001.4167836
677,1147113.00,1666716001.4287417
678,1147136.00,1666716001.4409423
679,1147154.00,1666716001.4542158
680,1147168.00,1666716001.4658546
681,1147187.00,1666716001.4789026
682,1147215.00,1666716001.4916995
683,1147204.00,1666716001.5041687
684,1147231.00,1666716001.5158641
685,1145590.00,1666716001.5289054
686,1145522.00,1666716001.5417988
687,1145460.00,1666716001.554279
688,1145377.00,1666716001.5657964
689,1145310.00,1666716001.5788846
690,1145216.00,1666716001.5916648
691,1145157.00,1666716001.604146
692,1145093.00,1666716001.616288
693,1143151.00,1666716001.6292915
694,1143142.00,1666716001.6417902
695,1143173.00,1666716001.6542377
696,1143178.00,1666716001.666281
697,1143192.00,1666716001.679144
698,1143206.00,1666716001.6917303
699,1143220.00,1666716001.7042644
700,1143217.00,1666716001.7162502
701,1143181.00,1666716001.7291987
702,1143216.00,1666716001.741743
703,1143247.00,1666716001.754058
704,1143256.00,1666716001.7660499
705,1143281.00,1666716001.7783313
706,1143293.00,1666716001.7916799
707,1143331.00,1666716001.8042061
708,1143344.00,1666716001.8167262
709,1143383.00,1666716001.8286927
710,1143497.00,1666716001.8418038
711,1143493.00,1666716001.8541167
712,1143444.00,1666716001.8659163
713,1143453.00,1666716001.8791435
714,1143435.00,1666716001.8910286
715,1143432.00,1666716001.9042573
716,1143402.00,1666716001.9167943
717,1143390.00,1666716001.9284794
718,1143918.00,1666716001.94175
719,1143964.00,1666716001.953602
720,1143998.00,1666716001.9667952
721,1144046.00,1666716001.9786737
722,1144080.00,1666716001.9916642
723,1144130.00,1666716002.004242
724,1144159.00,1666716002.016607
725,1145157.00,1666716002.0285742
726,1145215.00,1666716002.0416415
727,1145221.00,1666716002.054276
728,1145206.00,1666716002.0667696
729,1145247.00,1666716002.0792844
